LP,Bezeichnung,Kapitel/Titel,
W14280,Verbesserung der Weiterbildung von Frauen und Erweiterung des Berufsspektrums,,
W14290,Projektstabskosten,,
W14291,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
W14292,Beratungsgremien (SK),,
W143,Strukturelle Innovationen in Bildung und Forschung,070154201,
,,090268357,
,,090268555,
,,090268650,
,,110268653,
,,300354101,
W14310,Strategiefonds,,
W14320,Förderung von Maßnahmen zur Verbesserung der internationalen Sichtbarkeit von Wissenschaft und Forschung,,
W14350,Entwicklung und Erprobung neuer Konzepte im gesamten Bildungswesen und in der Forschung,,
W14360,Patentwesen / Innovationsstimmulierung,,
W14370,Technologietransfer Hochschule - Wirtschaft / Public-Private-Partnership; EXIST,,
W14380,Verwertungsoffensive,,
W14390,Projektstabskosten,,
W14391,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
W14392,Beratungsgremien (SK),,
W144,Weiterentwicklung von Hochschule und Wissenschaft sowie Realisierung der Chancengleichheit für Frauen in Forschung und Lehre,300363201,
W14400,Weiterentwicklung von Hochschule und Wissenschaft sowie Realisierung der Chancengleichheit für Frauen in Forschung und Lehre,,
W180,übrige strukturelle/innovative (Querschnitts-)maßnahmen,090268357,
,,300268501,
,,300354101,
,,300454101,
W18028,Interdisziplinäre Innovationskollegs im Beitrittsgebiet,300268501,
W18029,Förderung innovativer Forschungsprojekte im Beitrittsgebiet,300268501,
W18030,Ausstellungen und Konferenzen (soweit nicht in anderen Bereichen),300454101,
W18099,Sonstiges,,
W2,Übrige Querschnittsaktivitäten,,
,,,
W210,Forschung für die zivile Sicherheit,300468327,
W21010,Szenarienorientierte Sicherheitsforschung,,
W21020,Technologieverbünde,,
W21030,Geistes- sozialwissenschaftliche Dimensionen der Sicherheitsforschung,,
W21040,Übrige und Querschnittsaktivitäten Sicherheitsforschung,,
W21050,Internationale Kooperationen,,
W21090,Projektstabskosten,,
W21091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
W21092,Beratungsgremien (SK),,
W250,"Ausgleichsmaßnahmen des Bundes fuer die Region Bonn in Wissenschaft, Forschung, Technologie und Bildung",122663371,
W25010,"Errichtung eines Center of Advanced European Studies and Research (CAESAR), Stiftungsanteil des Bundes",,
W25020,Errichtung einer Fachhochschule Rhein-Sieg und einer Abteilung der Fachhochschule Rheinland-Pfalz im Kreis Ahrweiler,,
W25030,Errichtung zweier internationalen Zentren der Universität Bonn (ZEI und ZEF),,
W25040,Weitere wissenschafts- und bildungsbezogene Ausgleichsmaßnahmen des Bundes für die Region Bonn,,
W270,Förderung des Studenten- und Wissenschaftleraustausches sowie der internationalen Kooperation von Wissenschaftlern,100254461,
,,300268101,
W27000,Förderung des Studenten- und Wissenschaftleraustausches sowie der internationalen Kooperation von Wissenschaftlern,,
W280,Übrige und Querschnittsaktivitäten,050268729,
,,090168602,
,,090268702,
,,100268602,
,,100268604,
,,100268703,
,,230268712,
,,230268788,
,,300268511,
,,300271202,
,,300353999,
,,300363250ZZZ,
,,300368560HIS,
,,300368560m,
,,300388250ZZZ,
,,300389460HIS,
,,300389460m,
,,300468702,
,,300468703,
,,300468704,
,,300468788,
,,600252604,
,,600454704,
W28015,Kosten für Pilotprojekte zur Effizienzsteigerung in der Bundesverwaltung,600252604,
W28020,Wettbewerbe und Preise,300268511,
W28040,Förderung des Wissenschaftleraustauschs; Stipendien,,
W28050,Wissenschaftliche Zusammenarbeit mit anderen Staaten (soweit nicht in anderen Bereichen),050268729,
,,090168602,
,,230268712,
,,230268788,
,,300468702,
,,300468788,
,,600454704,
W28060,Zusammenarbeit mit ausländischen Forschungsinstituten (soweit nicht in anderen Bereichen),300468703,
W28070,Institutionelle Förderung (soweit nicht in anderen Bereichen),300368560m,
,,300389460m,
W28085,Sanierung des Erfurter Johann-Gutenberg-Gymnasiums nach dem Amoklauf vom 26.04.2002,,
W28090,Projektstabskosten,,
,,,
W28092,Beratungsgremien (SK),,
W28099,Sonstiges,300271202,
,,300353999,
W290,Überwiegend hochschulbezogene Aktivitäten des ehemaligen BMBW (außerhalb der LP-Förderschwerpunkte A5 / A6 / S2),300368508,
,,300468501,
,,300468511,
W29025,Überwiegend hochschulbezogene Einzelaktivitäten des ehemaligen BMBW (außerhalb der LP-Förderschwerpunkte A5 / A6 / S2),300368508,
,,300468511,
W29090,Projektstabskosten,300468511,
W291,"Bundesprogramme im Fonds ""Aufbauhilfe""",300268106,
,,300368106,
,,300388204,
,,300488204,
W29110,Kosten für die Fortsetzung einer beruflichen Erstausbildung,,
W29120,Beseitigung von Hochwasserschäden an vom Bund (mit-) finanzierten Einrichtungen,,
W3,Globale Minderausgabe; Planungsreserve,,
W300,Globale Minderausgabe; Planungsreserve,3096,
,,3097,
,,3098,
X,Wehrforschung und -technik,,
X0,Wehrforschung und -technik,,
Y,Nicht FuE-relevante Bildungsausgaben - keine Wissenschaftsausgaben,,
Y1,Bundesausbildungsförderungsgesetz (BAföG) - keine Wissenschaftsausgaben,,
Y100,Bundesausbildungsförderungsgesetz (BAföG) - keine Wissenschaftsausgaben,300263250,
,,300263251,
,,300266150,
,,300285212,
Y10000,Bundesausbildungsförderungsgesetz (BAföG) - keine Wissenschaftsausgaben,,
Y2,Nicht FuE-relevante Ausgaben der beruflichen Bildung - keine Wissenschaftsausgaben,,
Y210,Austausch mit anderen Staaten im Bereich der beruflichen Bildung sowie Stipendien,300268121,
Y21000,Austausch mit anderen Staaten im Bereich der beruflichen Bildung sowie Stipendien,,
Y220,Begabtenförderung in der beruflichen Bildung,300268111,
Y22000,Begabtenförderung in der beruflichen Bildung,,
Y225,Förderung der beruflichen Aufstiegsfortbildung,090268161,
,,300268120,
Y22500,Förderung der beruflichen Aufstiegsfortbildung,,
Y230,Überbetriebliche berufliche Ausbildungsstätten,300289320,
Y23000,Überbetriebliche berufliche Ausbildungsstätten,,
Y235,Maßnahmen zur Verbesserung der Berufsorientierung,300268521,
Y23500,Maßnahmen zur Verbesserung der Berufsorientierung,,
Y240,Sonderprogramme Ausbildungsplätze (berufliche Bildung),300263202,
,,300263203,
Y24000,Sonderprogramme Ausbildungsplätze (berufliche Bildung),,
Y25000,Übrige Sonderprogramme im Bereich der beruflichen Bildung,,
Y290,"Übrige, nicht FuE-relevante Ausgaben der beruflichen Bildung",300288297,
Y29000,"Übrige, nicht FuE-relevante Ausgaben der beruflichen Bildung",,
Y3,"Übrige, nicht FuE-relevante Bildungsausgaben - keine Wissenschaftsausgaben",,
Y310,Bildungskredit,300266140,
Y31000,Bildungskredit,,
Y320,"Zuschuß an den Verein ""Villa Vigoni""; Um- und Ausbaumaßnahmen",300368773,
Y32000,"Zuschuß an den Verein ""Villa Vigoni""; Um- und Ausbaumaßnahmen",,
Y330,Zuschüsse an Studentenförderungswerke,300268110,
Y33000,Zuschüsse an Studentenförderungswerke,,
Y340,Eingliederung von deutschen Aussiedlern mit Hochschulabschluß; wirtschaftliche Sicherung außerhalb Deutschlands tätig gewesener Wissenschaftler,170268411,
Y34010,Berufliche Eingliederung von deutschen Aussiedlern mit Hochschulabschluß,,
Y34020,Wirtschaftliche Sicherung außerhalb Deutschlands tätig gewesener Wissenschaftler,,
Y370,Förderung hochschulbezogener zentraler Maßnahmen studentischer Verbände und anderer Organisationen,300368509,
Y37000,Förderung hochschulbezogener zentraler Maßnahmen studentischer Verbände und anderer Organisationen,,
,,,
Y38000,Studentenwohnraumförderung,,
Y385,Ganztagsschulen,600288202,
Y38500,Ganztagsschulen,,
Y390,"Sonstige, nicht FuE-relevante Bildungsausgaben",300263301,
,,300263391,
,,300268112,
Y39000,"Sonstige, nicht FuE-relevante Bildungsausgaben",,
